	survived	pclass_1	pclass_2	pclass_3	sex_female	sex_male	age	sibsp	parch	fare	embarked_C	embarked_Q	embarked_S
0	1	1.0	0.0	0.0	1.0	0.0	29.0	0	0	211.3375	0.0	0.0	1.0
1	1	1.0	0.0	0.0	0.0	1.0	0.9167	1	2	151.55	0.0	0.0	1.0
2	0	1.0	0.0	0.0	1.0	0.0	2.0	1	2	151.55	0.0	0.0	1.0
3	0	1.0	0.0	0.0	0.0	1.0	30.0	1	2	151.55	0.0	0.0	1.0
4	0	1.0	0.0	0.0	1.0	0.0	25.0	1	2	151.55	0.0	0.0	1.0
5	1	1.0	0.0	0.0	0.0	1.0	48.0	0	0	26.55	0.0	0.0	1.0
6	1	1.0	0.0	0.0	1.0	0.0	63.0	1	0	77.9583	0.0	0.0	1.0
7	0	1.0	0.0	0.0	0.0	1.0	39.0	0	0	0.0	0.0	0.0	1.0
8	1	1.0	0.0	0.0	1.0	0.0	53.0	2	0	51.4792	0.0	0.0	1.0
9	0	1.0	0.0	0.0	0.0	1.0	71.0	0	0	49.5042	1.0	0.0	0.0
10	0	1.0	0.0	0.0	0.0	1.0	47.0	1	0	227.525	1.0	0.0	0.0
11	1	1.0	0.0	0.0	1.0	0.0	18.0	1	0	227.525	1.0	0.0	0.0
12	1	1.0	0.0	0.0	1.0	0.0	24.0	0	0	69.3	1.0	0.0	0.0
13	1	1.0	0.0	0.0	1.0	0.0	26.0	0	0	78.85	0.0	0.0	1.0
14	1	1.0	0.0	0.0	0.0	1.0	80.0	0	0	30.0	0.0	0.0	1.0
16	0	1.0	0.0	0.0	0.0	1.0	24.0	0	1	247.5208	1.0	0.0	0.0
17	1	1.0	0.0	0.0	1.0	0.0	50.0	0	1	247.5208	1.0	0.0	0.0
18	1	1.0	0.0	0.0	1.0	0.0	32.0	0	0	76.2917	1.0	0.0	0.0
19	0	1.0	0.0	0.0	0.0	1.0	36.0	0	0	75.2417	1.0	0.0	0.0
20	1	1.0	0.0	0.0	0.0	1.0	37.0	1	1	52.5542	0.0	0.0	1.0
21	1	1.0	0.0	0.0	1.0	0.0	47.0	1	1	52.5542	0.0	0.0	1.0
22	1	1.0	0.0	0.0	0.0	1.0	26.0	0	0	30.0	1.0	0.0	0.0
23	1	1.0	0.0	0.0	1.0	0.0	42.0	0	0	227.525	1.0	0.0	0.0
24	1	1.0	0.0	0.0	1.0	0.0	29.0	0	0	221.7792	0.0	0.0	1.0
25	0	1.0	0.0	0.0	0.0	1.0	25.0	0	0	26.0	1.0	0.0	0.0
26	1	1.0	0.0	0.0	0.0	1.0	25.0	1	0	91.0792	1.0	0.0	0.0
27	1	1.0	0.0	0.0	1.0	0.0	19.0	1	0	91.0792	1.0	0.0	0.0
28	1	1.0	0.0	0.0	1.0	0.0	35.0	0	0	135.6333	0.0	0.0	1.0
